ordering,mse,r2,r2_yhat
010112,70.09425706746455,0.5374251048746448,0.691053392738568
010120,72.24699883445952,0.5465342817835779,0.7149959914750906
010121,75.9157743484501,0.543106700953033,0.7159334137139202
010122,82.9127278132512,0.5238123782021443,0.7043211718177955
010200,59.66324089328294,0.5270774535984448,0.6356882162497057
010201,65.76265963714977,0.5063077706141836,0.6000388309851592
010202,70.39099004990537,0.5021138001732879,0.6025431778733488
010210,64.872314385931,0.5460289097420121,0.6567400844453471
010211,69.61385329636363,0.5347537601675152,0.6466160502582993
010212,74.40275239962095,0.5275505571168777,0.6392933061610384
010220,73.63068923395667,0.5510288908464163,0.6747199543223232
010221,76.42116745332261,0.5515404544655319,0.6750619370079287
010222,82.44189700612732,0.5366983053380049,0.6651462036651836
011000,45.8421004884495,0.5539072389373884,0.7312556528158407
011001,50.56192466456677,0.5421247596070418,0.7111292892038658
011002,57.13630036005923,0.5207397344976485,0.6868502010115249
011010,57.651036074411664,0.5297139101811628,0.7412943762316052
011011,64.91179698424327,0.500417059859489,0.725761905037021
011012,69.89723151914242,0.4949749219475524,0.7034542419385319
011020,73.92721481763148,0.496301247824249,0.7309776116722351
011021,79.2745809623768,0.4845426375740954,0.7216830628235169
011022,82.97197981877162,0.4876605499245187,0.7209405235626954
011100,44.24900595765183,0.5787059964415177,0.7098504316780694
011101,49.04626440587091,0.5631389003088645,0.6887709816695149
011102,55.145240393245096,0.5428749809507314,0.65743688490881
011110,51.6168013655718,0.5794241745599185,0.732222946397151
011111,55.66178298120862,0.5706716870185746,0.7289475453147052
011112,61.11069342318821,0.5561875791431273,0.7093806580547137
011120,63.910800014839744,0.5585800656766745,0.7389214908943396
011121,68.07154314759933,0.5503425857659457,0.7324789127879978
011122,73.32401880669117,0.5391696119176868,0.7211675567803739
011200,52.32040228897785,0.534519280606446,0.6418304139112705
011201,56.36448689239442,0.5271996677115522,0.6305449622058794
011202,62.00576039548962,0.5123577292124668,0.6115776078606907
011210,55.11010715639164,0.5693602634674277,0.6864889559654122
011211,58.561570293106215,0.5644915261507616,0.6818464672430544
011212,63.080791950999966,0.5560451158205064,0.6745406239508487
011220,62.48501430473216,0.5775256219488405,0.7073553729791252
011221,65.98958721887496,0.5717133603914901,0.7024407034117001
011222,69.93748771309174,0.5666295659053523,0.7023691605427965
012000,44.06722747196552,0.5391969811534383,0.7144697947863838
012001,49.27942864520209,0.5218431676010094,0.6908752791943715
012002,55.84860361621028,0.4996441645354667,0.656679136698643
012010,55.2782733504361,0.5163151081836841,0.7167282705935832
